"프린터의 인자 속도","The printer's printing speed"
"달에 착륙한 우주선","a spacecraft that landed on the moon"
"비밀 정보의 보안","security for classified information"
"학교 창립 30주년 기념식","the school's 30th anniversary ceremony"
"아뇨, 그럴 리가 없어요","No, that's not possible"
"금빛 찬란한 왕관","a brilliantly golden crown"
"무분별한 국토 개발","reckless land development"
"가정에 대한 남편의 무관심","the husband's indifference to the family"
"방송국 연말 시상식","the broadcaster's year-end awards ceremony"
"독성이 강한 물질","a highly toxic substance"
"여물을 되새기고 있는 소","a cow chewing its cud"
"석 달 템이나 걸리다니","It took nearly three months"
"울퉁불퉁 파인 비포장도로","a bumpy, rutted dirt road"
"여권 발급 기관","the passport-issuing agency"
"수심에 찬 얼굴","a face full of worry"
"로마 제국의 멸망","the fall of the Roman Empire"
"요즘 근황이 어떠십니까?","How have you been lately?"
"평균적 발달 속도","an average rate of development"
"갈비탕 한 그릇","a bowl of galbitang"
"인쇄 기술의 발달","the development of printing technology"
"사대부 집 자손","descendants of a yangban family"
"생크림을 씌운 맛있는 케이크","a delicious cake topped with whipped cream"
"과학 기술의 진보","advances in science and technology"
"흰색 수컷 호랑이","a white male tiger"
"보석이 박힌 왕관","a jewel-studded crown"
"장래가 촉망되는 인물","a person with a promising future"
"나직하게 떠 있는 구름","low-floating clouds"
"국내외로 알려진 인물","a person known at home and abroad"
"도착 예정 시각","the scheduled arrival time"
"육체적 쾌락만을 추구하는 세태","a social climate that pursues only physical pleasure"
"바닥에 들붙은 껌","gum stuck to the floor"
"학벌을 중시하는 사회적 분위기","a social climate that values academic pedigree"
"속이 음침한 사람","a sinister person"
"동해에 솟아오르는 해","the sun rising over the East Sea"
"사람들이 왜 저리하느냐?","Why are people acting like that?"
"굳게 맞물린 입술","tightly pressed lips"
"마계를 지키는 귀신","a ghost guarding the demon realm"
"차원이 낮은 영화","a low-brow movie"
"당황스러운 상황에 대처하는 방법","how to deal with an awkward situation"
"소화 기관 계통","the digestive system"
"금이 삐뚤어지지 않게 족 그어라","Score the line so it doesn't go crooked"
"윤기가 흐르는 머리","glossy hair"
"폭음을 내며 질주하는 오토바이","a motorcycle racing by with a loud roar"
"윤리에 어긋나는 행위","an unethical act"
"서방의 자유 진영","the Western free bloc"
"선사 시대의 유적","prehistoric ruins"
"독자들의 한결같은 반응","readers' consistent reaction"
"착 달라붙는 바지","skin-tight pants"
"검색어 순위 10위","10th in the search-term rankings"
"가수 못지아니한 노래 실력","singing skills on par with a professional singer"
"유행이 지난 옷","out-of-fashion clothes"
"인기리에 방영되고 있는 연속극","a hugely popular TV drama currently airing"
"초속 8m의 서북풍","a northwest wind at 8 m/s"
"은하수를 건너는 조각배","a small boat crossing the Milky Way"
"매력 있는 사람","an attractive person"
"공부를 방해하지 마라","Don't disrupt studying"
"음산한 초겨울 날씨","gloomy early-winter weather"
"쟤는 덩치는 큰데 의외로 소심해","That guy's big but surprisingly timid"
"민족 반역 행위","an act of national betrayal"
"장애인 편의 시설","facilities for people with disabilities"
"면밀한 검토 후에 결론을 내리자","Let's reach a conclusion after careful review"
"쓰러져 가는 고옥","a crumbling old house"
"로마 제국의 몰락","the decline of the Roman Empire"
"이제 어지간히 해라","That's enough now"
"조선 왕조의 창업","the founding of the Joseon dynasty"
"외국에 대한 선입견","preconceptions about foreign countries"
"안전 수칙 준수","compliance with safety rules"
"분주한 서울 거리","the bustling streets of Seoul"
"여보, 보면 몰라서 물어?","Honey, can't you tell just by looking?"
"눈발이 날리는 궂은 날씨","nasty weather with flurries"
"아빠가 그림책 읽어 줄게……","Dad will read you a picture book..."
"코끝에 맺힌 땀방울","beads of sweat on the tip of the nose"
"바람직스럽지 못한 행동","undesirable behavior"
"쿵쿵 울리는 심장","a heart pounding"
"칠흑 같은 머리","jet-black hair"
"포대기에 둘러싸인 아기","a baby wrapped in a blanket"
"달빛이 가득한 마당","a yard bathed in moonlight"
"낙관을 불허하는 정세","a situation that allows no optimism"
"밀도 높은 강의","a content-dense lecture"
"에그, 저게 뭐야!","Oh, what's that!"
"수입 농산물에 대한 검역","quarantine inspection of imported agricultural products"
"온 세상을 뒤덮은 하얀 눈","white snow covering the whole world"
"유리창 하나 없는 컴컴한 지하실","a pitch-dark basement with no windows"
"그가 이끄는 정당","the party he leads"
"미술 작품 전시회","an art exhibition"
"국회의 입법 과정","the National Assembly's legislative process"
"군부대 위문 공연","a performance for troops"
"비상 소화 대책","emergency firefighting measures"
"완성도가 높은 작품","a highly polished work"
"뾰족 솟아 있는 지붕","a sharply peaked roof"
"선수 출장 규정","player appearance rules"
"작자 실명의 책","a book published under the author's real name"
"체조 선수 육성","training gymnasts"
"신체 강화 훈련","physical conditioning training"
"도박에 걸린 돈","money wagered on gambling"
"암벽에 새긴 불상","a Buddha statue carved into a cliff"
"문학상 수상 작품","an award-winning literary work"
"두 팔을 나에게 뻗쳐라","Hold out both arms to me."
"전쟁을 리얼하게 그린 영화","A film that depicts war realistically."
"갈등을 부추기는 행동","Behavior that fuels conflict."
"오늘 점심에는 감자를 쪄서 먹자","Let's steam potatoes for lunch today."
"고무가 달린 연필","A pencil with an eraser."
"경멸이 가득한 표정","A look full of contempt."
"참기 힘든 야식의 유혹","The hard-to-resist temptation of late-night snacks."
"과목별 전담 교사","Teachers dedicated to each subject."
"더욱 붉어지는 노을","A sunset growing ever redder."
"하! 참 세상에 기가 막혀서","Ha! I'm just dumbfounded by the world."
"사르르 끌리는 치맛자락","A skirt hem that softly draws you in."
"선과 악의 투쟁","The struggle between good and evil."
"기개가 높은 지사","A patriot of lofty spirit."
"묻는 말에 솔직히 대답해라","Answer the question honestly."
"흠잡을 데 없는 전형","An impeccable archetype."
"간편한 청바지 차림","A casual jeans outfit."
"무광으로 처리한 안경테","Matte-finish eyeglass frames."
"연한 분홍색 투피스","A light pink two-piece outfit."
"업무 처리 능력","The ability to handle work."
"주위가 조용한 집","A house in a quiet area."
"버스 운행 노선","A bus route."
"청소년 사건 전담 요원","An officer assigned to juvenile cases."
"댁네 두루 편안하신지요?","Is everyone at your home doing well?"
"해외 동포의 모국 방문","An overseas compatriot's visit to the homeland."
"금실이 좋은 주인 내외","The master and mistress, happily married."
"1학년 3반 반장","Class president of Class 3, Grade 1."
"거래소 상장 기업","An exchange-listed company."
"뒷골목을 주름잡던 사나이","The man who once ruled the back alleys."
"뼛속을 파고드는 추위","Bone-piercing cold."
"조상에게 물려받은 보검의 정기","The aura of the treasured sword inherited from ancestors."
"프로 야구 정규 시즌","The regular season of pro baseball."
"기미 독립 선언서","The Gimi Declaration of Independence."
"액틀 속의 그림","A picture in a frame."
"글귀 좋은 총각","A young man with a way with words."
"고려자기의 독특한 미","The unique beauty of Goryeo celadon."
"엉망진창으로 돌아가는 세상","A world running in utter chaos."
"연고 없는 환자","A patient with no next of kin."
"멀리서 둔하게 들리는 대포 소리","The dull sound of cannons heard from afar."
"설득과 설명의 차이점","The difference between persuasion and explanation."
"농담으로 하는 말","Something said as a joke."
"아늑한 봄날의 오후","A cozy spring afternoon."
"국토 개발 계획","A national land development plan."
"추진력이 강한 엔진","An engine with strong propulsion."
"설화의 변이 과정","The process of folktale transformation."
"정성스럽게 차린 밥상","A lovingly prepared meal."
"증인 출두 요구","A request for a witness to appear."
"예술과 기술의 융합","The fusion of art and technology."
"식료품을 파는 가게","A grocery store."
"일을 마치는 대로 속속 돌아와라","Come back as soon as you finish, one after another."
"감명 깊은 이야기","A moving story."
"어머님, 부디 몸조심하십시오","Mother, please take care of yourself."
"과거사에 대한 기록","A record of past events."
"첨단 장비의 도입","The introduction of cutting-edge equipment."
"고양이 한 마리","A cat."
"정북으로 뻗은 길","A road stretching due north."
"고위 간부 회의","A meeting of high-ranking officials."
"개성의 과감한 표출","A bold expression of individuality."
"차량의 원활한 소통","Smooth traffic flow."
"소금물을 머금은 모래","Sand soaked with saltwater."
"3백 리터 용량의 냉장고","A 300-liter refrigerator."
"저 사람이 누구입니까?","Who is that person?"
"역사상으로 중요한 일","A historically important event."
"톡 쏘는 청량음료","A tangy, fizzy soft drink."
"발목까지 오는 신","Ankle-high shoes."
"착용감이 편한 옷","Comfortable clothing to wear."
"문학에 유의한 사람","A person of significance in literature."
"여러분! 이걸 보십시오","Everyone, look at this!"
"생쥐를 대상으로 한 실험","An experiment on mice."
"중독성이 강한 마약","A highly addictive drug."
"창의를 억누르는 고압적인 분위기","A high-pressure atmosphere that stifles creativity."
"아니, 벌써 도착했니?","What, you already arrived?"
"그만 일에 눈물을 흘리다니","Crying over something like that."
"파란빛이 감도는 치마","A skirt with a bluish tint."
"운동이라면 질색하는 엄마","A mom who hates exercise."
"삼각형으로 생긴 딱지","A triangle-shaped sticker."
"예금 계좌 추적","Tracking a deposit account."
"사진 보정 작업","Photo retouching work."
"인터넷 서비스 공급자","An Internet service provider."
"잔뜩 찌푸린 날씨","Heavily overcast weather."
"국회 의원 당선자","A member-elect of the National Assembly."
"아휴, 정나미 떨어져","Ugh, that really turns me off."
"제가 형님으로 모셔도 될까요?","May I treat you as my older brother?"
"자연주의 문학의 거장","A master of naturalist literature."
"나 혼자라는 생각","The thought that I'm alone."
"중단 없는 전진","Uninterrupted advance."
"무력에 의한 침략","Aggression by force."
"아따, 말도 많네","Wow, you sure talk a lot."
"성격이 제각각인 사람들","People with all different personalities."
"유럽 연합 회원국","A member state of the European Union."
"다시 건강이 좋아져야지","I need to get healthy again."
"바탕이 거친 옷감","Cloth with a rough texture."
"어허, 이거 왜 이러느냐?","Hey, what's wrong with this?"
"이쪽으로 어서 들어오세요","Please come in this way."
"오염 물질 배출","Pollutant emissions."
"음식물 반입 금지","No food allowed inside."
"너는 대체 누구냐?","Who on earth are you?"
"육군과 합류한 공군","An air force unit that joined the army."
"고뇌 속에서 보낸 세월","Years spent in anguish."
"비밀리에 열린 회담","A meeting held in secret."
"탄소 배출을 줄이기 위한 노력","Efforts to reduce carbon emissions."
"꼬리 아홉 달린 여우","A nine-tailed fox."
"과학 문명의 급격한 발달","The rapid development of scientific civilization."
"수륙 양면 공격","An amphibious assault."
"설탕이 듬뿍 묻은 도넛","A doughnut coated with lots of sugar."
"제국주의의 억압과 수탈","Imperialist oppression and exploitation."
"집안일에 무관심한 남편","A husband indifferent to housework."
"일 년 육 개월","One year and six months."
"선사 유물 전시관","A prehistoric artifacts exhibition hall."
"이슬비에 젖은 눅눅한 옷","Damp clothes soaked in drizzle."
"금품 수수 혐의","Allegations of bribery."
"층계가 가파르니 조심해라","The stairs are steep, so be careful."
"월척에 가까운 붕어","A crucian carp nearly a trophy catch."
"저희 선생님은 참 자상하세요","Our teacher is very kind."
"자판기에 투입된 동전","Coins inserted into the vending machine."
"멀리 바다가 뵈는 집","A house with a view of the distant sea."
"장난기가 서린 눈","Mischievous eyes."
"일찍이 없었던 일","Something unprecedented."
"경기 부양 대책","Measures to stimulate the economy."
"자동차 조립 공장","An automobile assembly plant."
"출산을 앞둔 산모","A mother-to-be nearing childbirth."
"청량한 가을 날씨","Crisp autumn weather."
"소박하면서도 강인한 조선 여인","A modest yet strong Joseon-era woman."
"셈이 똑똑한 사람","A person who is good with numbers."
"금융 실명제 청문회","A hearing on the financial real-name system."
"직진으로 곧게 뻗어 있는 길","A road stretching straight ahead."
"치매 전문 병원","A dementia specialty hospital."
"어머, 눈이 오네","Oh my, it's snowing."
"관리들의 비위 탄핵","The impeachment of officials for misconduct."
"화려한 도회지 생활","A glamorous city life."
"드라마 프로그램 제작사","A drama production company."
"사회 과학 부문","The social sciences division."
"제작진이 섭외한 장소","A location booked by the production team."
"교복 착용의 장점","The advantages of wearing school uniforms."
"시장 조사를 위한 현지 출장","A business trip for market research."
"일직선으로 뻗은 길","A road stretching in a straight line."
"천재로 소문난 아이","A child rumored to be a genius."
"종합 병원의 병원장","The director of a general hospital."
"재기 발랄한 젊은이들","Lively, spirited young people."
"수도권의 과잉 팽창","Overexpansion of the capital region."
"화초를 안으로 들여와라","Bring the potted plants inside."
"향후 국제 정세","The future international situation."
"실습 위주의 교육","Practice-focused education."
"이사를 온 첫날","The first day after moving in."
"못살게 굴지 마라","Don't treat me badly."
"개성 존중의 시대","An era that respects individuality."
"인간 본연의 모습","The true nature of humans."
"백옥 같은 피부","Skin as white as jade."
"구내식당의 단조로운 식단","The monotonous cafeteria menu."
"비정상적 반복 행동","Abnormal repetitive behavior."
"절에서 들려오는 은은한 종소리","The faint sound of a temple bell."
"정부 종합 청사","The government complex."
"육개장 한 그릇","A bowl of yukgaejang."
"고속 도로 진입로","A highway on-ramp."
"현금 수송 차량","A cash transport vehicle."
"지배적 위치에 있는 사람들","People in dominant positions."
"정도에 맞는 생활","A life within one's means."
"우리 민족의 고유한 의상","Our people's traditional clothing."
"누구 앞에서 시치미야?","Who are you playing dumb in front of?"
"각종 운동 경기","Various sports competitions."
"방망이를 부러뜨린 강속구","A blazing fastball that broke the bat."
"자네 어르신은 안녕하신가?","Are your elders well?"
"누군가에게 쫓기는 불안한 표정","An anxious look, as if being chased."
"이뤄질 수 없는 꿈","An impossible dream."
"거봐, 내가 뭐랬어","See? I told you."
"50쪽 3행부터 읽어 보자","Let's read from line 3 on page 50."
"아무것도 모르면 가만있어","If you don't know anything, keep quiet."
"성공적 임무 수행","Successful completion of a mission."
"가죽 장갑 한 켤레","A pair of leather gloves."
"이루어질 수 없는 사랑","A love that can never be."
"수억 원의 수입","Income of hundreds of millions of won."
"민족사의 바른 좌표","The proper bearings of national history."
"무한한 우주 공간","Infinite outer space."
"안전벨트 착용의 의무화","Mandatory seat belt use."
"승용차 5부제 운동","The five-day rotation campaign for passenger cars."
"위대한 업적을 남긴 위인","A great figure who left remarkable achievements."
"그것은 언니더러 물어봐","Ask your older sister about that."
"새해 첫날 아침","The morning of New Year's Day."
"원시 밀림 지역","A primeval rainforest region."
"영어 원문 해석","Interpreting the original English text."
"별의 움직임에 대한 관측 자료","Observational data on the movement of stars."
"이 늙은이가 무얼 알겠습니까?","What would this old man know?"
"서구에서 전래된 과학 기술","Science and technology introduced from the West."
"오랜 투병 생활","A long struggle with illness."
"대기업에서 만든 제품","A product made by a major corporation."
"싱그러운 꽃 냄새","The fresh scent of flowers."
"내 부탁을 거절하면 재미없어","If you refuse my request, it won't be fun."
"시큼한 김치 냄새","The sour smell of kimchi."
"어제 한 일의 되풀이","A repetition of what was done yesterday."
"우리 아기 둥둥","Our baby, Doong-doong"
"검진이 필요한 항목에 표시하시오","Mark the items that require an examination."
"멸종 위기에 처한 야생 동물","Wild animals at risk of extinction."
"하늘로 날아오르는 비행기","An airplane taking off into the sky."
"뺨이 좁은 도끼","An axe with narrow cheeks."
"잘 익은 복숭아","A ripe peach."
"소유와 경영의 분리","Separation of ownership and management."
"뉴욕과 서울 간의 정기 항로","A regular route between New York and Seoul."
"이젠 돌아가라니까 그러네","I told you to go back now, and you still act like that."
"풍경을 묘사한 구절","A phrase that describes the scenery."
"자네는 본관이 어디이신가?","What is your clan seat?"
"저편 한길로 난 창","A window opening onto the path on the far side."
"수생 식물 서식","Habitat of aquatic plants."
"남극 탐험대 대원","A member of an Antarctic expedition."
"친선 방문단 단장","Head of a goodwill delegation."
"삶에 대한 찬양","Praise for life."
"청천에 반짝이는 무수한 별","Countless stars twinkling in the clear sky."
"기껏 위로한다는 소리가 그거니?","Is that all you can say to console me?"
"매일 되풀이되는 일","Something that repeats every day."
"생사를 건 모험","An adventure with life and death at stake."
"뜬금없이 무슨 소리요","What are you talking about all of a sudden?"
"칼날 같은 콧대","A knife-sharp nose bridge."
"군인이 대거 투입된 작전","An operation with large-scale troop deployment."
"불쑥 튀어나온 배","A potbelly sticking out."
"단체 협약 중재 조항","A mediation clause in a collective agreement."
"동해에 떠오르는 태양","The sun rising over the East Sea."
"손등까지 덮는 긴 소매","Long sleeves that cover the backs of the hands."
"나라를 판 매국노","A traitor who sold out the country."
"피곤할 테니 어서 자라","You must be tired, so go to sleep."
"으음, 그렇게 하지","Mm, let's do that."
"훤하게 잘생긴 얼굴","A bright, handsome face."
"고전 문학 개설","An introduction to classical literature."
"서너 종의 견본","Three or four types of samples."
"어린아이의 해맑은 웃음","A child's pure, bright smile."
"카페인의 각성 효과","The stimulating effect of caffeine."
"정보 공개 청구","A request for disclosure of information."
"점심은 간단히 분식으로 하자","Let's have a simple lunch of Korean snack food."
"시어머니와 며느리 사이","Between a mother-in-law and her daughter-in-law."
"부실 은행 퇴출","Removal of insolvent banks."
"유난히 반짝이는 별빛","Unusually sparkling starlight."
"덩치가 우람한 사내","A big, burly man."
"성리학을 대체한 서구 사상","Western ideas that replaced Neo-Confucianism."
"출발을 알리는 신호탄","A signal flare announcing the start."
"저 사람, 뭐 하는 작자야?","That person—what kind of guy is he?"
"학계의 연구 동향","Research trends in academia."
"공동 연구 발표회","A joint research presentation."
"딱딱한 호두 껍데기","A hard walnut shell."
"동서 관통 도로","A road that runs east-west."
"머 하고 있니?","What are you doing?"
"협동 정신이 강한 주민","Residents with a strong spirit of cooperation."
"꾀가 많은 사람","A crafty person."
"신하로서 왕의 자리를 넘보다니!","How dare you, as a subject, covet the throne!"
"초가삼간 외딴 오두막","A secluded three-bay thatched cottage."
"인성과 예능을 겸비한 인재","A talented person with both character and artistic ability."
"품질 기준에 합격한 제품","A product that meets quality standards."
"자칫 흐트러지기 쉬운 마음","A heart that can easily become unsettled."
"나 먼저 나갈게","I'll head out first."
"돋보이는 노래 솜씨","Standout singing skills."
"출발 시간의 지연","A delay in the departure time."
"눈부시게 차려입은 여자","A woman dressed dazzlingly."
"오죽하면 도둑질을 할까?","How desperate must you be to steal?"
"어린아이에게 너무 겁주지 마라","Don't scare the child too much."
"돈벌이에만 급급한 사람들","People obsessed only with making money."
"그래그래, 내가 정말 잘못했어","Okay, okay, I was really wrong."
"오늘은 된장국이 각별히 맛있는데","The soybean paste soup is especially good today."
"드문드문 찾아드는 손님","Occasional customers dropping by."
"내가 누구인지 알겠어요?","Do you know who I am?"
"전차의 은은한 향기","The subtle aroma of tea."
"투약과 식이 요법의 병행","Combining medication and dietary therapy."
"새파란 가을 하늘","A deep blue autumn sky."
"반짝반짝 빛나는 눈","Sparkling eyes."
"숨이 살아 있는 신선한 야채","Fresh vegetables full of life."
"코를 벌름거리는 버릇","A habit of flaring one's nostrils."
"망국의 한을 읊은 시","A poem lamenting the nation's ruin."
"빛의 입자 이론","The particle theory of light."
"어느 것이 맞는 답입니까?","Which one is the correct answer?"
"죄인을 옥에 잡아 가두어라","Seize the criminal and lock him in prison."
"객차를 열 량 단 기차","A train with ten passenger cars."
"더없이 기쁜 날","A day of boundless joy."
"높고 푸른 가을 하늘","The high, blue autumn sky."
"고전적 수업 방식","A traditional style of instruction."
"냄새를 제거하는 방향제","An air freshener that removes odors."
"지기를 싫어하는 성미","A temperament that hates losing."
"수마가 할퀴고 간 지역","An area ravaged by floodwaters."
"홈으로 뛰고 있는 3루 주자","A runner on third sprinting for home."
"내가 한 말이 그렇게 역겨우니?","Are the things I said really that disgusting?"
"3년 연속 우승","Three consecutive championships."
"서른 살 남짓 되어 보이는 남자","A man who looks about thirty."
"약효의 지속 시간","The duration of a drug's effect."
"입사 시험 탈락자","A candidate who failed the hiring test."
"학술 논문 등재 기준","Criteria for indexing academic papers."
"푸른색으로 뒤덮인 산","A mountain covered in green."
"그리운 고국산천 언제나 가 볼꼬","When will I ever see my beloved homeland's mountains and rivers again?"
"엔진 오일 교환 시기","Time to change the engine oil."
"화물의 운송 경로","The shipping route of the cargo."
"새로운 삶에 첫발을 내딛는 결혼","Marriage that takes the first step into a new life."
"군비 확장 계획","A plan to expand armaments."
"포로 수용 시설","A prisoner-of-war detention facility."
"익사자 인양 작업","A recovery operation for drowning victims."
"유일한 휴식 시간","The only time to rest."
"착한 성품을 지닌 사람","A person with a kind disposition."
"내성적이고 소심한 성격","An introverted and timid personality."
"가뭄 피해 지역의 복구","Restoration of drought-hit areas."
"범죄 없는 사회","A society without crime."
"권위 있는 학자","An authoritative scholar."
"고졸 또는 동등의 학력","A high school diploma or equivalent."
"솟구쳐 오르는 분노","Surging anger."
"피곤해서 풀어진 눈","Eyes drooping from fatigue."
"가정 내의 불화","Discord within the family."
"난 네가 결혼했다고 착각했어","I mistakenly thought you were married."
"색종이를 오려서 만든 꽃","A flower made by cutting colored paper."
"길거리에 나와 노는 아이들","Children out playing in the street."
"오징어 두 마리","Two squids."
"너무 늙은 호박","An overripe pumpkin."
"면화 재배 농장","A cotton farm."
"완벽에 가까운 묘기","A stunt close to perfection."
"남성 위주의 사회","A male-dominated society."
"청소년을 위한 무료 강좌","Free classes for teenagers."
"대학가의 새로운 풍속도","A new social scene around universities."
"조리하면 안 될 텐데","You shouldn't cook that, though."
"까닭 없이 불안한 마음","A groundless sense of anxiety."
"창사 50주년 기념일","The company's 50th anniversary."
"너를 정말 사랑해","I really love you."
"군청 주최 씨름 대회","A ssireum tournament hosted by the county office."
"지금은 바쁘니 이따가 통화하자","I'm busy now, so let's talk later."
"전국적 규모의 대회","A nationwide competition."
"말과 행동의 배치","A discrepancy between words and actions."
"지극히 담담한 표현","An extremely matter-of-fact expression."
"담배 대여섯 개비","Five or six cigarettes."
"일동 차렷. 국기에 대하여 경례!","Attention, everyone. Salute the flag!"
"널리 용서해 주십시오","Please forgive us generously."
"근대사의 시점과 종점","The start and end points of modern history."
"사회의 구조적 모순","Structural contradictions in society."
"알로록달로록 예쁜 치마","A pretty, multicolored skirt."
"두릅은 쌈장에 찍어 먹어라","Dip the aralia shoots in ssamjang and eat them."
"명분 없는 싸움","A fight without justification."
"땀 흡수가 가능한 헤어밴드","A sweat-absorbing headband."
"나에게는 하나뿐인 그대","You are the one and only for me."
"어려움을 함께한 친구","A friend who shared hardships with me."
"인체에 해로운 물질","A substance harmful to the human body."
"얌전하고 뛰어난 요리 솜씨","A gentle person with excellent cooking skills."
"과일을 넣은 빙수","Bingsu with fruit."
"가슴에 맺힌 한","A deep sorrow lodged in the heart."
"민족 유산의 보호","Protection of national heritage."
"온몸이 노곤해지는 봄날 오후","A spring afternoon that makes your whole body drowsy."
"제반 설비의 불완전","Deficiencies in the overall facilities."
"에잇, 재수 없어","Ugh, what bad luck."
"철통 같은 수비","An ironclad defense."
"출혈이 심한 환자","A patient with severe bleeding."
"현실에 대응하는 태도","A realistic attitude."
"허리선이 강조된 옷","Clothes that emphasize the waistline."
"자꾸 밤새우지 마라, 몸 축날라","Stop staying up all night, you'll ruin your health."
"국내 최초 유럽 리그 입성","The country's first entry into a European league."
"여기 과일 좀 내오너라","Bring out some fruit here."
"쓸모 있는 사람이 되어라","Become a useful person."
"휴양지에서 보낸 일주일이 꿈같아","The week I spent at the resort felt like a dream."
"호기심에 가득 찬 눈빛","A gaze full of curiosity."
"국제 문제에 대한 강연","A lecture on international issues."
"그놈을 이리 끌고 와라","Drag that guy over here."
"가 볼 만한 장소","A place worth visiting."
"대한 독립 만세","Long live Korean independence."
"백설 공주와 일곱 난쟁이","Snow White and the Seven Dwarfs."
"쩍 벌어진 어깨","Broad shoulders."
"비슷하게 세워진 기둥","Pillars set up in a similar way."
"천연 잔디 축구장","A natural-grass soccer field."
"내 말을 마저 들어라","Listen to the rest of what I'm saying."
"고전 소설의 대표작","A representative classic novel."
"튼튼하게 놓은 다리","A sturdily built bridge."
"임산부로 북적이는 산부인과","An obstetrics clinic crowded with pregnant women."
"종종 일어나는 일","Something that happens often."
"전혀 다른 사람","A completely different person."
"보약 먹고 기운을 내라","Take some tonic medicine and get your strength back."
"그이는 어디서 온 사람입니까?","Where does he come from?"
"넓은 플라타너스 잎사귀","Broad plane-tree leaves."
"흥미 위주의 오락물","Entertainment geared toward excitement."
"섬세한 장면 묘사","Delicate scene description."
"뚱뚱하게 부어오른 다리","Legs swollen thick."
"야간 자율 학습","Night self-study."
"미성년자 관람 불가","No admittance for minors."
"국회 소장파 의원","A reformist lawmaker in the National Assembly."
"오늘이 무슨 요일이냐?","What day of the week is it today?"
"남이 들어도 무방한 이야기","A story that's fine for others to hear."
"커다랗게 불거진 소문","A rumor that has ballooned."
"분통에 담긴 가루분","Powder in a powder jar."
"미제로 남아 있는 문제","A problem that remains unsolved."
"단정하고 맵시 있는 옷차림","A neat and stylish outfit."
"구한말 당시의 국제 정세","The international situation at the end of the Joseon period."
"난민 정착 지원","Support for refugee resettlement."
