무책임한 보도 난무,Irresponsible reporting is rampant.
액자를 쪼끔 올려서 걸어라,Hang the frame a little higher.
강물을 가로막아 댐을 만들었어,I blocked the river and built a dam.
장관 명의의 확인서,a certificate in the minister's name
불똥이 사방으로 튀어요,Sparks fly in all directions.
베개를 고쳐 베었어,I adjusted the pillow and laid my head on it.
중세 사회의 해체,the disintegration of medieval society
백두산의 정기를 받았어,I received the spirit of Mount Baekdu.
칼날이 몸에 스쳐,The blade brushes my body.
화재를 미연에 방지해,I prevent fires in advance.
깃발이 천천히 내려졌어,The flag was lowered slowly.
집안일에 무관심한 남편,a husband indifferent to housework
신인 탤런트 선발 대회,a new talent selection contest
예금 잔고를 확인해,I check the account balance.
그는 잠자코 있었습니다,He kept silent.
짝퉁 명품 가방을 샀어,I bought a counterfeit designer bag.
몸의 불편을 무릅쓰고 일을 했어,I worked despite physical discomfort.
머리를 숙여 인사합니다,I bow my head and greet.
국민들에게 대안을 제시했습니다,Alternatives were presented to the people.
무덤 속으로 들어갔어,I went into the grave.
물건을 포장지로 쌌어,I wrapped the item in wrapping paper.
니체는 신이 죽었다고 외쳤어요,Nietzsche shouted that God is dead.
그는 일만큼은 빈틈이 없습니다,He is flawless when it comes to work.
좋은 직장을 붙잡았어,I held on to a good job.
음악회 입장권을 샀어,I bought a concert ticket.
이리저리 핑계를 댔어,I made excuses here and there.
문제를 꼼꼼 생각합니다,I think through the problem carefully.
가시에 찔린 손가락이 따가웠어,The finger pricked by a thorn stung.
담 위로 뛰어올라,I jump up over the wall.
근대와 전근대의 공존,the coexistence of the modern and the premodern
건국의 기초를 튼튼히 다졌어,I firmly laid the foundation of the nation.
세금 면제 대상자를 규정해요,I define those eligible for tax exemption.
상점에 손님이 많아요,There are many customers in the shop.
완두콩을 껍질째 삶았어,I boiled the peas in their pods.
파리가 쉬를 슬습니다,A fly excretes.
이 모임은 위법의 소지가 있습니다,This gathering has the potential to be unlawful.
뚱뚱하게 부어오른 다리,legs swollen and puffy
그는 직장에서 해고되었습니다,He was fired from his job.
이웃 나라와 통상을 시작했습니다,We began trade with a neighboring country.
자동차 산업의 본산,the cradle of the automobile industry
때가 껴 지저분한 옷,clothes filthy with grime
고추냉이를 푼 간장,soy sauce mixed with wasabi
형이 동생에게서 장난감을 뺏어,The older brother snatches a toy from the younger sibling.
폭동이 전국을 휩쓸었어요,The riot swept the entire country.
원혼들의 넋을 건져 줘,I save the souls of the restless dead.
그가 몸담았던 언론계,the media world he belonged to
아이에게 모자를 씌웠어요,I put a hat on the child.
아으 머리가 아파 못 견디겠어,Ah my head hurts so much I cannot stand it.
해물로 요리를 만들었어요,I made a dish with seafood.
부임 절차를 밟아,I go through the appointment procedures.
반달같이 예쁜 송편,pretty songpyeon like a half-moon
경제 성장의 원동력,the driving force of economic growth
사태가 위급에 처해 있습니다,The situation is in a critical state.
예술과 기술의 융합,the convergence of art and technology
고소한 참기름 냄새,the nutty smell of sesame oil
왕이 부지런한 신하를 칭예해,The king commends the diligent subject.
은행에서 대출을 받아요,I get a loan from the bank.
아이에게 껌을 씹혀,I have the child chew gum.
서른 살 남짓 되어 보이는 남자,a man who looks about thirty
헛된 야망을 품어,I harbor vain ambitions.
법안이 의회를 통과했어요,The bill passed the assembly.
아기에게 젖을 먹입니다,I feed the baby milk.
한곳에 오래 머물렀어요,I stayed in one place for a long time.
백설 공주와 일곱 난쟁이,Snow White and the Seven Dwarfs
수돗물 공급을 중단했어요,We stopped the tap water supply.
엉킨 실타래를 풀었습니다,I untangled the tangled ball of thread.
술은 일만 악의 장본이야,Alcohol is the source of countless evils.
이것저것 입어 봐,Try on this and that.
오랜만에 벗을 찾아,I look up a friend after a long time.
난선이 표류해 있었어,The distressed ship was adrift.
기적을 행하는 초능력자,a miracle-working psychic
잘못된 점이 지적됐어,The mistakes were pointed out.
소유와 경영의 분리,the separation of ownership and management
녹두를 물에 불려,I soak the mung beans in water.
공연 티켓의 재판매를 금지했습니다,The resale of concert tickets was banned.
더없이 좋은 사람,a person who couldn't be better
수취인 불명의 우편물,mail with an unknown recipient
막 신는 데는 이 신발이 편합니다,These shoes are comfortable for everyday wear.
위법한 것으로 확인돼,It is confirmed to be illegal.
노사가 단체 협약을 체결했습니다,Labor and management concluded a collective agreement.
용이 불을 뿜습니다,The dragon breathes fire.
남의 물건을 욕심냈어요,I coveted someone else's belongings
이것을 반금으로 팔겠다고 했습니다,I was going to sell this for half price
싸움에서 적에게 승리했어요,We won against the enemy in the fight
시험 문제가 어렵습니다,The exam questions are difficult
옛 추억을 살렸어,I revived old memories
경영진 퇴진 운동을 전개했어,We launched a campaign for management's resignation
엉 넌 누구냐?,Huh who are you?
생선 비린내가 심해요,The fishy smell is strong
고아를 보육원에 수용했어,We took in the orphan at an orphanage
다 너를 위해 하는 말이었습니다,It was all said for you
단풍 구경을 갔어요,I went to see the autumn foliage
대문에 빗장을 가로질렀어요,I put the bar across the front gate
엉덩이를 뭉개며 옮겨 앉아,I scoot over and sit squashing my butt
성질 사나운 사람,a bad-tempered person
머리를 바짝 깎았어,I shaved my head very close
남의 의혹을 샀어,I aroused others' suspicions
공화국의 창출 과정,the process of founding the republic
이웃 마을에 사는 친구,a friend who lives in the neighboring village
동물에게 먹이를 줬어요,I fed the animals
욕조에 물을 받았어,I filled the bathtub with water
고립 상태에 빠졌어요,I fell into isolation
죽음을 각오하고 싸웠어요,I fought prepared to die
끝없이 펼쳐진 초원,an endless grassland
건강이 더욱더 나빠졌어요,My health got even worse
고인의 높은 뜻을 더럽히지 말자,Let's not tarnish the noble will of the deceased.
노여움으로 낯빛이 하얘졌어요,My face turned pale with anger
올해에는 짧은 머리가 유행입니다,Short hair is in fashion this year
강가를 거니는 연인,lovers strolling by the river
옷을 거꾸로 입었어,I wore my clothes inside out
울퉁불퉁 파인 비포장도로,a bumpy rutted unpaved road
이리저리 거리에 뒹구는 낙엽,fallen leaves rolling around the streets
암실에서 화면을 잘라요,I cut the image in the darkroom
관리들의 비위 탄핵,impeachment of officials for corruption
손자가 할아버지 등에 올라타요,The grandson climbs onto his grandfather's back
어린아이들을 내팽개치고 달아나요,I abandon the children and run away
단풍의 아름다움에 반했어,I fell for the beauty of the autumn leaves
위기를 피할 길을 도모해,I devise a way to avoid the crisis
하늘에 동생의 완쾌를 기구했어요,I prayed to heaven for my younger sibling's recovery
비에 젖어 으스스 한기를 느꼈어요,I got soaked in the rain and felt a chill
혼자서 고되게 일했습니다,I worked hard alone
저분이 부장님 부인이셨어요,That person was the department head's wife
수천 액수의 사람이 모여 있어,Thousands of people are gathered
탁월한 임상 효과,excellent clinical efficacy
숙취로 두통이 심합니다,I have a severe headache from a hangover
시간과 공간을 초월합니다,It transcends time and space
현실에 대응하는 태도,an attitude that addresses reality
축구 경기가 전국으로 방송되었습니다,The soccer match was broadcast nationwide
강당에 모여 합창 연습을 했습니다,We gathered in the auditorium and practiced the chorus
새 회사의 명칭을 공모합니다,We are soliciting a name for the new company
선사 시대의 유적,prehistoric remains
서재에 틀어박혀 지냈어요,I stayed shut up in the study
아파트 당첨자를 발표했어,I announced the apartment winners
이 유적은 보존 상태가 양호합니다,This relic is well preserved
화장실 벽에 있는 낙서들,graffiti on a bathroom wall
고대 국가의 형성,the formation of ancient states
사리가 어른처럼 밝았어요,Sari was as bright as an adult
국민의 기본적 의무,the basic duties of citizens
매번을 퇴짜 맞았어,I got turned down every time
하! 참 세상에 기가 막혀서,Ha! This world is unbelievable.
어느 것이 맞는 답입니까?,Which is the correct answer?
이 지역은 통신 상태가 불량해,This area has poor communication reception
마찰에 의해 열이 생겨요,Heat is generated by friction
반쯤 허물어진 건물,a half-collapsed building
덮개를 씌운 마차,a cart with a cover
물길이 바다와 수평을 이뤄요,The waterway runs level with the sea
객차를 열 량 단 기차,a train with ten passenger cars
과학의 발전에 기여해,I contribute to the development of science
잡초를 쑥쑥 뽑았습니다,I pulled out the weeds quickly
죄책감과 회한에 몸부림쳐,I writhe in guilt and remorse
언니는 야근을 하기로 마음먹었어요,My older sister decided to work overtime
산악회에 가입을 신청해,I apply to join the hiking club
자료 수집 대행 업무,data collection outsourcing work
큰 비전을 세웠어요,I established a grand vision
어린아이에게 너무 겁주지 마라,Don't scare the child too much.
어른한테 빤히 대들면 못 써요,You shouldn't stare and talk back to adults
애칭을 붙여 줘,I give a nickname
먹고 싶은 만큼 마음껏 먹어라,Eat as much as you want.
성질이 요러니 누가 좋아하겠어?,With a temper like this who would like you?
담배꽁초를 주워 피워,I pick up and smoke cigarette butts
아버지에 대한 반항,rebellion against one's father
약그릇을 양손으로 받쳐 들어,I hold the medicine bowl with both hands
고속 도로에 진입했습니다,I entered the highway
남의 장단에 놀아났어요,I got carried away by someone else's rhythm
대접을 엎으니 물이 쏟아졌어,When I knocked over the bowl the water spilled
계획이 중간에서 뒤틀려요,The plan gets twisted halfway through
유치장 신세를 져요,I end up in a detention cell
너를 정말 사랑해,I really love you.
두근대는 가슴으로 선을 봤어요,I went on a blind date with a pounding heart
행사 기금이 마련됐어,The event fund was secured
부패한 정권의 잔해,the remnants of a corrupt regime
미용 기술을 속성으로 배웠어요,I learned beauty skills in an intensive course
문설주에 몸을 기댔어요,I leaned my body against the doorjamb
마음을 짓누르는 걱정,a worry weighing on the heart
퇴직 이후의 삶을 준비해요,I prepare for life after retirement
간단한 다과를 마련해,I prepare a simple snack
인질범들로부터 아이를 구출했습니다,We rescued the child from the hostage takers
이력서에 정자로 기입해,I fill out the resume in neat handwriting
그는 차를 전속력으로 몰아요,He drives the car at full speed
총대로 땅을 텅텅 찍었어요,I thudded the ground with the gun butt
광대한 제국을 건설해요,I build a vast empire
달빛이 가득한 마당,a yard filled with moonlight
화물의 운송 경로,cargo transport route
나는 가난이 지긋지긋했어,I was sick and tired of poverty
용의자를 불구속으로 입건했습니다,We booked the suspect without detention
토지의 보상 평가,compensation assessment for land
인부들이 공사에 동원되었습니다,The workers were mobilized for the construction
하마터면 큰일 날 뻔합니다,It almost turned into a big problem
대륙 간에 행해지는 무역,intercontinental trade
행인에게서 돈을 빼앗아요,I take money from a passerby
비정상적 반복 행동,abnormal repetitive behavior
혈압이 낮은 사람,a person with low blood pressure
하락 장세가 계속되고 있었어요,The downtrend kept continuing
호박을 썰어 부쳐 먹었습니다,I sliced the squash and fried it
화분에 물을 줘요,I water the flowerpot
날마다 책을 읽어요,I read a book every day
기계로 칼을 갈았어요.,I sharpened the knife with a machine.
방 안이 훈훈했어.,The room was cozy and warm.
바닷가에서 주워 온 자갈,pebbles picked up from the beach
풍선을 팡팡 터뜨렸어요.,I popped the balloons with loud pops.
딱딱 잘라 말해.,I speak bluntly.
선명한 아침 햇살,bright morning sunlight
소금물을 머금은 모래,sand soaked with saltwater
밀가루 반죽을 주물렀어.,I kneaded the flour dough.
개막을 알리는 종소리,the bell announcing the opening
신분 보장의 불확실성,uncertainty about status security
정든 임을 보냈어.,I sent off my beloved.
극명한 시각 차이,a stark difference in viewpoints
솜사탕을 뜯어 먹어요.,I pull off and eat the cotton candy.
폭풍으로 배가 위험에 빠졌어.,The ship fell into danger because of the storm.
도배를 새로 합니다.,I re-paper the walls.
동무들과 공놀이를 했어.,I played ball with my friends.
의사를 집에 불러왔어요.,I called the doctor to the house.
방수와 방한이 잘되는 등산복,waterproof and cold-resistant hiking clothes
해진 양말을 꿰매요.,I mend the worn socks.
맨몸으로 물에 뛰어들었어.,I jumped into the water bare-bodied.
높은 벼슬과 후한 봉록,high office and generous stipend
징역 10년을 구형해.,They seek a 10-year prison sentence.
숟가락으로 밥을 떴어요.,I scooped the rice with a spoon.
소식을 애타게 기다려요.,I anxiously wait for the news.
순간 머리가 핑 돌 것만 같습니다.,At that moment it feels like my head might spin.
친구와 실력을 다퉈.,I compete in skill with a friend.
뒷골목을 주름잡던 사나이,a man who ruled the back alleys
바다에서 고기를 잡았어.,I caught fish in the sea.
부가세 포함 가격,price including VAT
밤비에 흠씬 젖습니다.,I get soaked by the night rain.
경청한 가을 하늘,clear autumn sky
무책임한 언행을 일삼았습니다.,I engaged in irresponsible words and deeds.
용기와 고귀를 상징해요.,It symbolizes courage and nobility.
부디 건강하길 바랐어.,I sincerely hoped you would be healthy.
그에게서 도망할 틈을 엿봤어요.,I looked for a chance to run away from him.
일상사의 자잘한 이야기,trivial stories of everyday life
난 중국 음식은 느끼해서 싫었어.,I didn't like Chinese food because it was too greasy.
이길 확률이 희박해요.,The chance of winning is slim.
아니 벌써 도착했니?,What you've arrived already?
가문을 빛낸 조상,an ancestor who honored the family
위험하기 짝이 없었어.,It was extremely dangerous.
살림을 깐깐하게 합니다.,I run the household very strictly.
실명이란 장애를 극복해.,I overcome the disability of blindness.
교육 민주화 선언,declaration of educational democratization
날씨가 좀 춥니?,Is the weather a bit cold?
폐수 처리 시설을 설치했어요.,I installed wastewater treatment facilities.
피고인이 변호인을 선임합니다.,The defendant retains a lawyer.
아이들의 행렬이 끝없이 이어져.,The children's procession goes on endlessly.
토지를 부동산 회사에 매각합니다.,I sell the land to a real estate company.
바람결에 넥타이가 탈락 움직여.,The necktie flutters in the breeze.
다른 단체와의 연계를 모색했습니다.,I sought linkage with other organizations.
동사무소 앞 게시판,notice board in front of the community office
회의의 소집 날짜를 정했어요.,I set the date for convening the meeting.
모두 퇴근한 썰렁한 사무실,a deserted office after everyone has left work
몸에 물을 끼얹어.,I pour water over my body.
애착이 가는 물건,an object one is attached to
허망을 안겨 줬어.,I left them feeling empty.
국가 발전의 요체,the essence of national development
학생에게 엄한 선생님,a strict teacher toward students
해안에 배를 정박해요.,I moor the ship at the shore.
달러를 한화로 환산했어요.,I converted dollars to Korean won.
추워서 몸을 달달 떨어요.,I shiver because it's cold.
아무 날 아무 시,any day any time
별이 무수히 반짝이는 밤하늘,a night sky with countless twinkling stars
숨기에 적당한 곳,a place suitable for hiding
그는 인간이 틀렸어,He's just a bad person
놓치기가 아까운 인재,a talent too good to miss
계집아이가 얌전치 못했어.,The girl was not well-behaved.
일이 예정대로 진행돼요.,Things proceed as scheduled.
한층 목소리를 낮췄어요.,I lowered my voice even more.
댁내 두루 평안하시길 바랐어요.,I hoped your household would be at peace.
불의의 참사를 당합니다.,I suffer an unexpected tragedy.
그들과 두고두고 원수가 되었습니다.,I became enemies with them for a long time.
상대편의 공격을 제어합니다.,I control the opponent's attack.
경덕은 입술을 악물어 맹세해.,Gyeongdeok clenches his lips and swears an oath.
세월이 화살 같았습니다.,Time was like an arrow.
나는 과학을 좋아해요.,I like science.
귀한 걸음을 해요.,I make a gracious visit.
솜을 도톰하게 두어 만든 이불,a quilt made with thick cotton
소방 시설을 갖췄어.,I equipped the firefighting facilities.
우리 집안은 아들이 귀했어.,Sons were rare in our family.
세상의 영화가 부질없게 느껴졌어요.,Worldly glory felt futile.
배가 물 밑으로 가라앉았어요.,The boat sank below the water.
칠천만 국내외 동포,seventy million compatriots at home and abroad
이곳에서부터 마을이 시작돼.,The village starts from here.
온갖 재물을 모았어요.,I gathered all kinds of wealth.
무슨 연유로 이제야 도착했지?,For what reason did you arrive only now?
그 사람이라고 별수 있겠어?,It's not like that person has any special way right?
너희의 꿈을 이루어라,achieve your dreams
화덕 위에 얹힌 냄비,a pot set on top of the furnace
선거철 철새 공방,election-season mudslinging by political opportunists
그들의 우정은 각별났어.,Their friendship was special.
독특한 채색 기법,a unique coloring technique
과학 문명의 급격한 발달,rapid development of scientific civilization
고려자기의 독특한 미,the unique beauty of Goryeo celadon
그에게는 장자의 풍모가 있어요.,He has the air of the eldest son.
십자로 줄을 긋습니다.,I draw lines in a cross.
돋보이는 노래 솜씨,outstanding singing ability
말고삐를 조여 잡았어.,I tightened and held the reins.
어머니는 놀란 기색이 역력합니다.,Mother's startled expression is obvious.
술에 얼큰하게 취해요.,I get tipsy on alcohol.
법령의 유효 기간,validity period of the law
이 바보 먹통아!,You idiot you blockhead!
찌개가 닳아서 짰어.,The stew was salty because it had boiled down.
사례를 톡톡히 했어.,I gave a proper reward.
발색이 자연스러운 제품,a product with natural color
숲속에 은폐한 적군,enemy troops concealed in the forest
아무것도 모르면 가만있어,If you don't know anything stay quiet
네모가 뚜렷한 바위,a rock with clearly defined corners
차가 연달아 와.,Cars keep coming one after another.
소박하면서도 강인한 조선 여인,a modest yet strong Joseon woman
나 혼자라는 생각,the thought that I'm alone
해가 질 임시에 돌아와.,I come back around the time the sun sets.
중대한 국면에 봉착해요.,We face a critical juncture.
안팎이 다른 사람,a two-faced person
길을 잃고 울먹이는 아이,a child who is lost and tearful
수차에 걸쳐 요청했어.,I requested it several times.
사회의 구조적 모순,structural contradictions in society
법정에서 증언을 거부했어.,I refused to testify in court.
나는 평범한 서민이었어.,I was an ordinary citizen.
각종 매체를 동원해요.,I mobilize various media outlets.
나더러 어쩌란 말이냐?,What do you want me to do?
이젠 돌아가라니까 그러네,I told you to go back now but you keep doing that
인기 절정에 올라요,It's at the height of popularity
경쾌한 느낌을 주는 음악,music that gives a light lively feeling
처마 끝에서 제비가 지저귀었습니다,Swallows chirped at the eaves
합격 통보를 받았어,I got the acceptance notice
전장에서 최후를 맞이해요,They meet their end on the battlefield
먹구름이 이쪽으로 몰려와,Dark clouds are moving this way
답안지에 답을 적습니다,We write the answers on the answer sheet
사돈어른께 인사를 여쭸어,I paid my respects to the in-law elder
사장에게 대안을 제안합니다,We propose an alternative to the boss
새해 복 많이 받으세요,Happy New Year
부모의 뜻을 어겼어요,I went against my parents' wishes
이제 그만 가자,Let's go now
접수된 축의금이 생각보다 적었어,The collected congratulatory money was less than expected
돌연히 기차가 멈춰 서,The train suddenly comes to a halt
심란한 얼굴을 했습니다,I had a troubled look
소리를 버럭 질렀어,I shouted sharply
쿵쿵 울리는 심장,a heart thumping loudly
조카는 초등학교에 재학 중이었습니다,My nephew was enrolled in elementary school
어머머 기가 막혀!,Oh my this is unbelievable!
평균적 발달 속도,average rate of development
채용 인원과 방법,the number of people to be hired and the method
난간에 걸터앉으면 위험했어,It was dangerous to sit on the railing
사랑에 목말라 있어요,I'm thirsty for love
한 평 넓이의 땅,a plot of land one pyeong in size
달콤한 잠에 빠졌어,I fell into a sweet sleep
지배 세력에 대항해요,They resist the ruling power
정신적 쾌락을 추구했어,I pursued mental pleasure
안개에 휩싸인 마을,a village shrouded in fog
런던 주재 특파원,a correspondent stationed in London
시멘트의 함량이 부족했어요,The cement content was insufficient
구름이 유연한 하늘,a sky with soft flowing clouds
자료를 컴퓨터에 입력했습니다,We entered the data into the computer
사업의 규모가 엄청나요,The scale of the business is enormous
시꺼멓게 탄 숯검정,pitch-black charred charcoal
계약금을 치르고 계문을 작성했어요,I paid the deposit and drafted the contract document
기름값이 갑자기 솟았어,Gas prices suddenly shot up
털썩 무릎을 꿇었어,I dropped to my knees with a thud
영화 제작에 몰두했어요,I was absorbed in film production
민족 역량의 과시,a display of national capability
풀잎을 스치는 바람이 속삭입니다,The wind brushing the grass whispers
제도의 일부만 개선했습니다,We improved only part of the system
배가 고파서 우는 아기,a baby crying from hunger
적의 선동에 동조했어,I sided with the enemy's incitement
하늘에 구름이 떠돌아요,Clouds drift in the sky
취업하기가 전보다 힘들어졌습니다,Getting a job has become harder than before
파랗게 돋아나는 새싹,green sprouts pushing up
내각 책임제를 채택했어,They adopted the cabinet responsibility system
족제비 털로 붓을 만들고 있어,I'm making a brush from weasel fur
그는 계명에 새벽잠을 깼어요,He woke from his early-morning sleep at the rooster's crow
피해 정도가 극심했어,The extent of the damage was severe
음식을 뒤죽박죽을 만들어 놓았어,I left the food all mixed up
전혀 생소한 모습,a completely unfamiliar appearance
그 여자는 소리를 빽 내질렀어,That woman let out a shrill scream
내 말을 마저 들어라,hear the rest of what I'm saying
조선의 관직 체계,the official rank system of Joseon
방송국에서 촬영을 나왔어요,They came out to film at the station
격려를 아끼지 않았습니다,We did not spare encouragement
싱싱하게 팔딱이는 생선,a fish flapping fresh and lively
가려운 데를 긁었습니다,I scratched the itchy spot
두 줄을 비꼬아서 맴을 돌렸어요,I twisted two lines and made a loop
계약 기간을 연장합니다,We extend the contract period
땅속에 사는 두더지,a mole that lives underground
막대한 유산을 받았어요,I received a huge inheritance
국경을 초월한 사랑,love that transcends borders
아이들이 과자를 냠냠 먹고 있어,The kids are munching on snacks
자연환경에 따른 문화의 차이,cultural differences shaped by the natural environment
관련 기관의 협조를 얻었어요,I obtained the cooperation of the relevant agencies
사업이 과연 성공할지 불확실해요,It's uncertain whether the business will succeed
미술 작품 전시회,an art exhibition
보리를 섬에 담고 있어,I'm putting barley into a sack
항상 의지가 되는 사람,a person who is always a support to rely on
대통령이 담화문을 발표했어,The president issued a statement
설득력을 지닌 협상안을 제시했습니다,We presented a persuasive negotiation proposal
놀고 싶을 때 실컷 놀아라,when you want to play play your fill
당사자가 처리할 문제,a matter for the party concerned to handle
대화가 오고 가,The conversation goes back and forth
공격과 방어를 번갈아 주고받았어요,We exchanged attacks and defenses alternately
원만한 부부 생활,a harmonious married life
이것이 정녕 꿈은 아니겠지요?,This isn't really a dream is it?
새 양복은 나에게 잘 어울렸어요,The new suit suited me well
구내식당의 단조로운 식단,the cafeteria's monotonous menu
원작에 충실한 번역,a translation faithful to the original
광산에서 석탄을 캐는 광부,a miner who mines coal at a mine
딱한 사정을 듣습니다,We hear a pitiful story
서울에 올라와 살았습니다,I came up to Seoul and lived there
싸움에서 시비를 가려내요,We sort out who is at fault in a fight
뒤집힌 거북이 발버둥을 쳤어,The overturned turtle struggled
